number,name,otherName
1,ДС Зелёный Луг - Площадь Мясникова,ДС Зелёный Луг - Площадь Мясникова
3,ДС Озеро - ДС Серебрянка,ДС Озеро - ДС Серебрянка
4,ДС Озеро - Площадь Мясникова,ДС Озеро - Площадь Мясникова
5,ДС Озеро - ДС Зелёный Луг,ДС Озеро - ДС Зелёный Луг
6,ДС Серебрянка - ДС Зелёный Луг,ДС Серебрянка  - ДС Зелёный Луг
7,ДС Серебрянка - Площадь Мясникова,ДС Серебрянка  - Площадь Мясникова
9,ДС Серебрянка - Тракторный завод,ДС Серебрянка  - Тракторный завод
11,ДС Зелёный Луг - Проспект Независимости,ДС Зелёный Луг - РК Змитрока Бядули (посадки-высадки нет)
