A: ДС Сухарево-5 - ДС Славинского
B: ДС Славинского - ДС Сухарево-5
-> Троллейбусный парк 3 - ДС Славинского
-> ДС Сухарево-5 - Троллейбусный парк 3
-> Троллейбусный парк 3 - ДС Сухарево-5
-> ДС Славинского - Троллейбусный парк 3
-> Троллейбусный парк 4 - ДС Славинского
-> ДС Сухарево-5 - Троллейбусный парк 4
-> Троллейбусный парк 3 - ДС Славинского
-> Троллейбусный парк 4 - ДС Сухарево-5
-> ДС Славинского - Троллейбусный парк 4
